i_reset = 1, o_cnt = x, o_decade = xx, i_cnt_en = 0, o_en_cnt = x, i_time_val = 30, o_time_cnt = x, o_time_en = x, o_clock_h = x, o_clock_m = x, o_clock_s = x
i_reset = 0, o_cnt =  84, o_decade = 84, i_cnt_en = 0, o_en_cnt =  14, i_time_val = 30, o_time_cnt = 22, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s = 24
i_reset = 0, o_cnt =  85, o_decade = 85, i_cnt_en = 0, o_en_cnt =  14, i_time_val = 30, o_time_cnt = 23, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s = 25
i_reset = 0, o_cnt =  86, o_decade = 86, i_cnt_en = 0, o_en_cnt =  14, i_time_val = 30, o_time_cnt = 24, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s = 26
i_reset = 0, o_cnt =  87, o_decade = 87, i_cnt_en = 0, o_en_cnt =  14, i_time_val = 30, o_time_cnt = 25, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s = 27
i_reset = 0, o_cnt =  88, o_decade = 88, i_cnt_en = 1, o_en_cnt =  14, i_time_val = 30, o_time_cnt = 26, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s = 28
i_reset = 0, o_cnt =  89, o_decade = 89, i_cnt_en = 0, o_en_cnt =  15, i_time_val = 30, o_time_cnt = 27, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s = 29
i_reset = 0, o_cnt =  90, o_decade = 90, i_cnt_en = 0, o_en_cnt =  15, i_time_val = 30, o_time_cnt = 28, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s = 30
i_reset = 0, o_cnt =  91, o_decade = 91, i_cnt_en = 0, o_en_cnt =  15, i_time_val = 30, o_time_cnt = 29, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s = 31
i_reset = 0, o_cnt =  92, o_decade = 92, i_cnt_en = 0, o_en_cnt =  15, i_time_val = 30, o_time_cnt = 30, o_time_en = 1, o_clock_h = 0, o_clock_m =  1, o_clock_s = 32
i_reset = 0, o_cnt =  93, o_decade = 93, i_cnt_en = 0, o_en_cnt =  15, i_time_val = 30, o_time_cnt =  0, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s = 33
i_reset = 0, o_cnt =  94, o_decade = 94, i_cnt_en = 1, o_en_cnt =  15, i_time_val = 30, o_time_cnt =  1, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s = 34
i_reset = 0, o_cnt =  95, o_decade = 95, i_cnt_en = 0, o_en_cnt =  16, i_time_val = 30, o_time_cnt =  2, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s = 35
i_reset = 0, o_cnt =  96, o_decade = 96, i_cnt_en = 0, o_en_cnt =  16, i_time_val = 30, o_time_cnt =  3, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s = 36
i_reset = 0, o_cnt =  97, o_decade = 97, i_cnt_en = 0, o_en_cnt =  16, i_time_val = 30, o_time_cnt =  4, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s = 37
i_reset = 0, o_cnt =  98, o_decade = 98, i_cnt_en = 0, o_en_cnt =  16, i_time_val = 30, o_time_cnt =  5, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s = 38
i_reset = 0, o_cnt =  99, o_decade = 99, i_cnt_en = 0, o_en_cnt =  16, i_time_val = 30, o_time_cnt =  6, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s = 39
i_reset = 0, o_cnt = 100, o_decade = 00, i_cnt_en = 1, o_en_cnt =  16, i_time_val = 30, o_time_cnt =  7, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s = 40
i_reset = 0, o_cnt = 101, o_decade = 01, i_cnt_en = 0, o_en_cnt =  17, i_time_val = 30, o_time_cnt =  8, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s = 41
i_reset = 0, o_cnt = 102, o_decade = 02, i_cnt_en = 0, o_en_cnt =  17, i_time_val = 30, o_time_cnt =  9, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s = 42
i_reset = 0, o_cnt = 103, o_decade = 03, i_cnt_en = 0, o_en_cnt =  17, i_time_val = 30, o_time_cnt = 10, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s = 43
i_reset = 0, o_cnt = 104, o_decade = 04, i_cnt_en = 0, o_en_cnt =  17, i_time_val = 30, o_time_cnt = 11, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s = 44
i_reset = 0, o_cnt = 105, o_decade = 05, i_cnt_en = 0, o_en_cnt =  17, i_time_val = 30, o_time_cnt = 12, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s = 45
i_reset = 0, o_cnt = 106, o_decade = 06, i_cnt_en = 1, o_en_cnt =  17, i_time_val = 30, o_time_cnt = 13, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s = 46
i_reset = 0, o_cnt = 107, o_decade = 07, i_cnt_en = 0, o_en_cnt =  18, i_time_val = 30, o_time_cnt = 14, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s = 47
i_reset = 0, o_cnt = 108, o_decade = 08, i_cnt_en = 0, o_en_cnt =  18, i_time_val = 30, o_time_cnt = 15, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s = 48
i_reset = 0, o_cnt = 109, o_decade = 09, i_cnt_en = 0, o_en_cnt =  18, i_time_val = 30, o_time_cnt = 16, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s = 49
i_reset = 0, o_cnt = 110, o_decade = 10, i_cnt_en = 0, o_en_cnt =  18, i_time_val = 30, o_time_cnt = 17, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s = 50
i_reset = 0, o_cnt = 111, o_decade = 11, i_cnt_en = 0, o_en_cnt =  18, i_time_val = 30, o_time_cnt = 18, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s = 51
i_reset = 0, o_cnt = 112, o_decade = 12, i_cnt_en = 1, o_en_cnt =  18, i_time_val = 30, o_time_cnt = 19, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s = 52
i_reset = 0, o_cnt = 113, o_decade = 13, i_cnt_en = 0, o_en_cnt =  19, i_time_val = 30, o_time_cnt = 20, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s = 53
i_reset = 0, o_cnt = 114, o_decade = 14, i_cnt_en = 0, o_en_cnt =  19, i_time_val = 30, o_time_cnt = 21, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s = 54
i_reset = 0, o_cnt = 115, o_decade = 15, i_cnt_en = 0, o_en_cnt =  19, i_time_val = 30, o_time_cnt = 22, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s = 55
i_reset = 0, o_cnt = 116, o_decade = 16, i_cnt_en = 0, o_en_cnt =  19, i_time_val = 30, o_time_cnt = 23, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s = 56
i_reset = 0, o_cnt = 117, o_decade = 17, i_cnt_en = 0, o_en_cnt =  19, i_time_val = 30, o_time_cnt = 24, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s = 57
i_reset = 0, o_cnt = 118, o_decade = 18, i_cnt_en = 1, o_en_cnt =  19, i_time_val = 30, o_time_cnt = 25, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s = 58
