areset = 1, o_cnt = x, o_decade = xx, cnt_en = 0, o_en_cnt = x, time_val = 30, o_time_cnt = x, o_time_en = x, o_clk_h = x, o_clk_m = x, o_clk_s = x
areset = 0, o_cnt = 107, o_decade = 07, cnt_en = 0, o_en_cnt =  18, time_val = 30, o_time_cnt = 14, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 47
areset = 0, o_cnt = 108, o_decade = 08, cnt_en = 0, o_en_cnt =  18, time_val = 30, o_time_cnt = 15, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 48
areset = 0, o_cnt = 109, o_decade = 09, cnt_en = 0, o_en_cnt =  18, time_val = 30, o_time_cnt = 16, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 49
areset = 0, o_cnt = 110, o_decade = 10, cnt_en = 0, o_en_cnt =  18, time_val = 30, o_time_cnt = 17, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 50
areset = 0, o_cnt = 111, o_decade = 11, cnt_en = 0, o_en_cnt =  18, time_val = 30, o_time_cnt = 18, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 51
areset = 0, o_cnt = 112, o_decade = 12, cnt_en = 1, o_en_cnt =  18, time_val = 30, o_time_cnt = 19, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 52
areset = 0, o_cnt = 113, o_decade = 13, cnt_en = 0, o_en_cnt =  19, time_val = 30, o_time_cnt = 20, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 53
areset = 0, o_cnt = 114, o_decade = 14, cnt_en = 0, o_en_cnt =  19, time_val = 30, o_time_cnt = 21, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 54
areset = 0, o_cnt = 115, o_decade = 15, cnt_en = 0, o_en_cnt =  19, time_val = 30, o_time_cnt = 22, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 55
areset = 0, o_cnt = 116, o_decade = 16, cnt_en = 0, o_en_cnt =  19, time_val = 30, o_time_cnt = 23, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 56
areset = 0, o_cnt = 117, o_decade = 17, cnt_en = 0, o_en_cnt =  19, time_val = 30, o_time_cnt = 24, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 57
areset = 0, o_cnt = 118, o_decade = 18, cnt_en = 1, o_en_cnt =  19, time_val = 30, o_time_cnt = 25, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 58
areset = 0, o_cnt = 119, o_decade = 19, cnt_en = 0, o_en_cnt =  20, time_val = 30, o_time_cnt = 26, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 59
areset = 0, o_cnt = 120, o_decade = 20, cnt_en = 0, o_en_cnt =  20, time_val = 30, o_time_cnt = 27, o_time_en = 0, o_clk_h = 0, o_clk_m =  2, o_clk_s =  0
areset = 0, o_cnt = 121, o_decade = 21, cnt_en = 0, o_en_cnt =  20, time_val = 30, o_time_cnt = 28, o_time_en = 0, o_clk_h = 0, o_clk_m =  2, o_clk_s =  1
areset = 0, o_cnt = 122, o_decade = 22, cnt_en = 0, o_en_cnt =  20, time_val = 30, o_time_cnt = 29, o_time_en = 0, o_clk_h = 0, o_clk_m =  2, o_clk_s =  2
areset = 0, o_cnt = 123, o_decade = 23, cnt_en = 0, o_en_cnt =  20, time_val = 30, o_time_cnt = 30, o_time_en = 1, o_clk_h = 0, o_clk_m =  2, o_clk_s =  3
areset = 0, o_cnt = 124, o_decade = 24, cnt_en = 1, o_en_cnt =  20, time_val = 30, o_time_cnt =  0, o_time_en = 0, o_clk_h = 0, o_clk_m =  2, o_clk_s =  4
areset = 0, o_cnt = 125, o_decade = 25, cnt_en = 0, o_en_cnt =  21, time_val = 30, o_time_cnt =  1, o_time_en = 0, o_clk_h = 0, o_clk_m =  2, o_clk_s =  5
